                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.59488,                0.30448,                0.92567,                0.98547,                0.98783,                 0.9879,                0.74169,                0.95434,                0.37007,                 1.0938,               0.000109,               0.000109,               0.000109
                     92,                0.58205,                0.28978,                0.91676,                0.98465,                  0.988,                 0.9898,                0.75461,                0.95835,                 0.3674,                 1.0971,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.57528,                0.28741,                0.91709,                0.98318,                0.99192,                0.98885,                0.75541,                0.96147,                0.37052,                  1.096,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.56055,                0.28451,                 0.9124,                0.98673,                0.98711,                0.98828,                 0.7488,                0.96102,                0.37425,                 1.0938,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.56185,                0.27923,                0.91088,                0.98812,                0.98587,                0.98896,                0.75137,                0.96514,                0.36729,                 1.0966,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.55548,                0.28372,                0.90568,                0.98448,                0.99141,                 0.9881,                0.75582,                0.95781,                0.36163,                 1.0962,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.54732,                0.27156,                0.89923,                0.98509,                0.99008,                0.98948,                0.75319,                0.96492,                 0.3722,                  1.103,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.54091,                0.27114,                0.90497,                0.98751,                0.98883,                0.98988,                  0.761,                0.95629,                0.36415,                 1.0971,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.54027,                0.27008,                0.90925,                0.98923,                0.98954,                0.98972,                0.75841,                0.96038,                0.36541,                 1.0982,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.53518,                0.27064,                0.89498,                0.98919,                0.98979,                0.98974,                0.75743,                0.96112,                0.36773,                  1.101,               1.99e-05,               1.99e-05,               1.99e-05
